categoria,perfil,quantidade,comprimento_total_m,massa_kg
CHUMBADOR_GANCHO_E_02_04,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_03_01,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_03_02,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_03_03,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_03_04,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_04_01,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_04_02,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_04_03,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_04_04,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_05_01,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_05_02,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_05_03,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_05_04,Chumbadores,barra-20,60.0,0.15
CLIPE_GIRT_D_01_01,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_GIRT_D_01_02,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_GIRT_D_02_01,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_GIRT_D_02_02,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_GIRT_D_03_01,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_GIRT_D_03_02,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_GIRT_D_04_01,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_GIRT_D_04_02,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_GIRT_D_05_01,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_GIRT_D_05_02,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_GIRT_E_01_01,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_GIRT_E_01_02,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_GIRT_E_02_01,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_GIRT_E_02_02,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_GIRT_E_03_01,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_GIRT_E_03_02,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_GIRT_E_04_01,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_GIRT_E_04_02,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_GIRT_E_05_01,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_GIRT_E_05_02,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_01_01,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_01_02,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_01_03,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_01_04,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_01_05,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_01_06,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_02_01,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_02_02,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_02_03,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_02_04,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_02_05,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_02_06,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_03_01,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_03_02,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_03_03,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_03_04,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_03_05,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_03_06,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_04_01,Clipes de apoio (conexao),chapa-8,0.0,0.68
